Address (Includes City),ZIP,Asking Price,Sale Price,Sale Date,Area (Sq Ft),Lot (Sq Ft),Beds,Baths,Year Built,Energy Features,Description,Classification,Solar Heating,Passive Solar,PV Power,Green Modified
535 SANDLEWOOD ST Menlo Park," 94025	","$331,150 ","$331,500 ", 06/08/07,1635,3680,3,3,NA," Insulation Per Owner		"," NEW CONSTRUCTION! 3BR/2.5BA HOME IN NEW HAMILTON PARK SUBDIVISION BUILT BY CLARUM HOMES. 47 GREEN BUILT HOMES FEATURE ALL ENERGY EFFICIENT SYSTEMS. SOLAR PANELS, TANKLESS WATER HTR, & MORE! PROPERTY SOLD THRU THE CITY OF MENL", Solar Heating ,1,0,0,0
537 SANDLEWOOD ST Menlo Park," 94025	","$331,150 ","$331,150 ", 07/17/07,1635,3589,3,3,NA," Insulation Per Owner		"," NEW CONSTRUCTION! 3BR/2.5BA HOME IN NEW HAMILTON PARK SUBDIVISION BUILT BY CLARUM HOMES. 47 GREEN BUILT HOMES FEATURE ALL ENERGY EFFICIENT SYSTEMS. SOLAR PANELS, TANKLESS WATER HTR & MORE! PROPERTY SOLD THRU THE CITY OF MENL", Solar Heating ,1,0,0,0
1425 ROSEMARY ST Menlo Park," 94025	","$331,150 ","$331,325 ", 08/03/07,1635,3812,3,3,NA, Insulation Per Owner," NEW CONSTRUCTION! 3BR/2.5 BA HOME IN NEW HAMILTON PARK SUBDIVISION BUILT BY CLARUM HOMES. 47 GREEN BUILT HOMES FEATURE ALL ENERGY EFFICIENT SYSTEMS. SOLAR PANELS, TANKLESS WATER HTR & MORE! PROPERTY SOLD THRU THE CITY OF MENL", Solar Heating ,1,0,0,0
503 SANDLEWOOD ST Menlo Park," 94025	","$331,150 ","$331,150 ", 05/11/07,1635,3524,3,3,NA, Insulation Per Owner," NEW CONSTRUCTION! 3BR/2.5BA HOME IN NEW HAMILTON PARK SUBDIVISION BUILT BY CLARUM HOMES. 47 GREEN BUILT HOMES FEATURE ALL ENERGY EFFICIENT SYSTEMS, SOLAR PANELS, TANKLESS WATER HTR & MORE! PROPERTY SOLD THRU THE CITY OF MENL", Solar Heating ,1,0,0,0
725 VISTA MONTANA DR Watsonville," 95076	","$725,000 ","$705,000 ", 06/21/06,1435,4500,4,3,NA," Insulated Hot Wtr Ht, Low-Flow Shower(s), Low-Flow Toilet(s), Weather Stripping, Window(s) Dual Pane"," Tasteful, luxurious, immaculate, comfortable and liveable.EZ to clean interior gorgeous exterior.Solar energy=tiny utility bills.Quiet and friendly area. Vacant& in move in cond. Bring your buyer", Solar Heating ,1,0,0,0
27897 Dolphin LN Hayward," 94545	","$595,000 ","$547,000 ", 04/03/07,1000,6160,3,2,NA," Insulated Hot Wtr Ht, Insulation Unknown, Window(s) Dual Pane		"," Come and see this beautiful home in the Heart of the Bay!!!!Seller's MotivatedMake offer!!! Price Reduction!!! Air,pergo,granite,dble-pane windows, bonus room!", Solar Heating ,1,0,0,0
135 ALDENGLEN DR South San Francisco," 94080	","$798,000 ","$915,000 ", 03/05/05,1920,4900,4,3,NA," Insulated Hot Wtr Ht, Insulation Unknown, Low-Flow Shower(s), Low-Flow Toilet(s), Window(s) Dual Pane		"," BEAUTIFUL 4BED, 3BATH SINGLE FAMILY HOME.SEPARATE DINING,BREAKFAST NOOK,SOLAR SYSTEM & 2 CAR GARAGE.LOCKBOX AVAILABLE 9 TO 4.AFTER 4PM CALL LISTING OFFICE @ 650-341-0150. ALLIANCE TITLE / NO. 1131818", Solar Heating ,1,0,0,0
6 RUSSELL CT Menlo Park," 94025	","$1,275,000 ","$1,300,000 ", 06/09/10,2200,12805,3,2,1980," Insulated Hot Wtr Ht, Insulation Per Owner, Skylight(s), Window(s) Dual Pane"," Approach to this gorgeous home by a long driveway lined w/ beautiful landscaping off a quiet cul-de-sac. Home remodeled w/ HW floors, granite counters, & cherry cabinetry, formal entry, recessed lighting, built-in stereo system, vaulted ceilings, double paned windows, central a/c & wood burning FP. Freshly painted inside & out. Lush landscape. Solarium provides energy to heat house & water heate", Solar Heating ,1,0,0,0
2643 Capetanios Dr El Dorado Hills," 95762-4603	","$1,625,000 ","$1,500,000 ", 05/08/09,6234,35414,4,6,2007, Green/Rsrc ," Exquisitely designed & well-appointed Prairie-Craftsman inspired masterpiece w/breathtaking lake & city views located in exclusive Kalithea. Built by Certified Green Building Pro, luxurious estate is energy efficient & environmentally sound. Extensive upgrades inc. Elevator, Wine cellar, 9 fireplaces, serene water features, lavish use of stone, granite, travertine, marble. Visit virtual media for highlighted features. Indoor/outdoor living & entertaining at its best! All offers considered", Photovoltaic Power ,0,0,1,0
607 Mormon St Folsom," 95630-2519	","$675,000 ","$599,000 ", 02/06/09,1921,6708,3,4,2008, Green/Rsrc ," This brand NEW Craftsman-style bungalow has just been named HOME OF THE YEAR by Green Builder Magazine. Inspiring & charming it features some of the latest design concepts for energy efficiency, including solar power, water conservation & indoor environmental quality. It is built using environmentally preferred materials. The charming style honors the ambiance of historic Folsom. 3-car garage & walk-up 2BR/1BA cottage for guests/rental. $/SF doesn't include apartment. This is a true gem", Passive Solar ,1,1,0,0
35004 Crows Nest Dr The Sea Ranch," 95497	","$1,250,000 ","$1,200,000 ", 08/11/10,N/A,19646,3,3,1982," Floor Insulation, Heat Pump-Air, Passive Solar, PV-Battery Backup, PV-On Grid, Skylight(s), Solar Domestic Water, Solar Heating, Wall Insulation, Window(s) Dual Pane"," Spectacular, well maintained, Don Jacobs designed home. This hillside property offers some of the most dramatic, white water views from every room. Two year new $80,000. solar panel system installed. Over 20 acres of commons adjoining this, very private property. The wind protected, South facing deck is ideal for entertaining. The Millard Sheets mosaic over the fireplace, is a must see", Passive Solar ,1,1,0,0
246 Club Dr Novato," 94945	","$1,369,995 ","$1,200,000 ", 02/15/08,4428,13329,5,4,2007," Ceiling Insulation, Window(s) Low "," Olive Ridge--where green meets luxury living! This stunning 5 Bedroom 3.5 bath home features an addl. den/library and huge bonus room with surround sound for pool, games, or whatever your hearts desire! Exquisitely appointed with all the designer touches- granite counterps, stunning cabinets, convenient island, and of course your adjoining family room with cozy fireplace. All sited on a huge over 13000 sft lot. Many, many more luxury features", Solar Heating ,1,0,0,0
26801 Ridge Rd Willits," 95490	","$550,000 ","$570,000 ", 09/24/07,2000,23958,3,3,NA," Ceiling Insulation, Window(s) Low "," Tucked away in this magnificent 5.5 acres lies this very unique green eco-energy efficient home- 3 bedroom 2.5 bath, master suite with amazing views. Construction almost complete, for sale as is. Contractor is willing to complete the project, tremendous pride of craftmanship. Two apn numbers, very private, property backs onto greenbel", Passive Solar ,0,1,0,0
166 Ocean Pkwy Bolinas," 94924-9739	","$1,650,000 ","$1,600,000 ", 04/27/05,1840,14462,3,2,NA," Ceiling Insulation, Window(s) Dual Pane, Wall Insulation		"," Unobstructed Panoramic Ocean, San Francisco,& Mt Tam views from this very appealing updated 3BR,2BA two story immaculate home. Quality throughout, Anderson windows & doors, sun porch,art studio,Pau Lope hardwood decks,detached storage container. Extensive gardens, greenhouse, orchard, level yard, street to street lot. Well-maintained, this ocean view property is very special!! A real jewel!! AP 192-252-05 & 09 included", Solar Heating ,1,0,0,0
