id,description
181," Built with beauty and brawn this is one of Sonoma's finest properties available on one of Sonoma's most beautiful and historical private country settings with views on 2.4 acres. This 4100 sq. ft. dramatic home has dark walnut floors, limestone kitchen counters, and many more details exquisitely chosen throughout this 4 bedroom, 4.5 bathroom estate designed to age gracefully through generations"
182," A gracious terrace w/enchanting fountain is the entrance to this amazing compound inspired by harmony & tranquility. 3BD suite main house has appeared in Architectural Digest- exquisitely remodeled w/old world French influences & Zen sensitivity. Elegant separate in-law retreat & guest cottage, both incorporating same beauty & magnificent views. Large private deck w/hot-tub, lawn and gardens offer spectacular Mt Tam vistas. Must experience"
183," This wonderful 3BR/@BA, single level home sits on close to an acre of land. The home features solar panels that eliminate approximately 70% of the electric bill, a computerized drip irrigation system, Culligan water softener, reverse osmosis water filtering system, and a burglar alarm system that can be centrally monitored. Lots of office space for telecommuters. Circular drive"
184," One of a kind Rush Creek home with park-like setting on .66 acres - Great for entertaining! 4 Bed+office. Includes pool w/rock waterfall, gated entrance, 2nd 2-car detached garage, outdoor BBQ, fire pit, gazebo, fabulous home layout w/tons of upgrades, gorgeous kitchen,etc. Homes like this one don't come up that often - Subject to Replacement home. Broker's Tour 9/27 (Wed.) Tiki hut not included in sale"
185," Reduced to sell! Vacation at home in this 3+BR/3BA 2862 sqft Maywood Masterpiece remodeled to perfection! Luxurious Mstr Ste,commanding views from E.Bay to Mt.Tam,landscaped front and back yards,gourmet eat-in kitch. with window seat+sliding doors to pool/patio.Formal Dining plus family room. All day sun, perfect for pool parties and watching sunsets over Tam.Custom closets,built-ins, A/C, 3CarGar,NearOpenSpace,Sun Valley Sch,Perfection!Act now"
186, Delightful and airy home that will warm your heart. Newly remodeled kitchen and baths. Stainless steel appliances. Hardwood floors. Three fireplaces. Ballroom size master bedroom! A bonus area - large den for those family gatherings and entertaining guests. Most rooms have large windows overlooking a private redwood grove backyard. Quiet cul-de-sac and just a few steps from a neighborhood park
187," This spacious, recently updated home is so well priced it won't last. High cathedral ceilings throughout w/ partial views of Windy Hill and Skyline Ridge. Grand Living room w/ adjacent Dining room. Open plan kitchen and family room. Master suite w/ new master bath. 2 addn'l bedrooms w/ updated bath. Tranquil & Prvt courtyard entry. Rooms open to deck & views. AC, Solar & Storag"
188," NO LB til tour1. Stately old S.F.Like home.Can be sold alone or w/lot of equal size next door.Call LA for details.Trustee sale, FATCO #1751910.Offers after 2/6. As Is purchase. A beautiful large old home waiting for family to love"
189," A sunny location, views of the bay and an airy feel make this energy-efficient home a cheery place. The gated patio and garden area welcome you to a home boasting large living spaces with Brazilian cherry flrs, 3Bed/3Baths, workshop & wine storage area, energy-efficient solar panels and a backyard replete with mature fruit trees. The master suite features great views,private deck, large sitting area and big closets. SELLER FINANCING CONSIDERED"
190," Fabulous 4 bedroom, 5 bath, plus Granny above the Garage (no kitchenette). Featuring hardwood floors, soaring ceilings, 2 fireplaces, thermador cooktop and built in stainless refrigerator, island, covered patio, and solar electric system already in place"
191," Brand New Single Story SOLAR SOLAR SOLAR Home!!! Save over 50% on electric bills every month! Plus get a approx. $5,600 Fed Solar Tax Credit! Large 2,208 sq.ft., 4 Bedroom, 2 Bath, and a FULL 3 Car Garage on a 10,000+ sq.ft. corner lot on a quiet street!. Wide open floorplan has $30,000 in upgrades/options! Beech Mocha Cabinets, Granite Slab Kitchen Counters w/ Island, Two-Tone Paint, 18x18 Floor Tiles throughout. Nice Exterior w/ Stone Accents. Just completed. Won't Last. Must See!"
192," NEW RELEASE! SOLAR ELECTRIC!!! NEW FLOORPLANS! Single story 1451 square feet,large kitchen island, Kitchen has Granite Countertops, cozy great room, and generous size secondary bedrooms. Includes higher efficient AC unit, radiant barrier, plus many more energy efficient upgrades. Buyer can choose interior finishes (cabinetry, carpet, tile) NO HOA! Est. move in June 201"
193," NEW RELEASE! NEW FLOORPLANS! SOLAR ELECTRIC!!(ALL PICTURES ARE OF THE MODEL)Single story 1646 square feet,large kitchen island, Kitchen has Granite Countertops, cozy great room, and generous size secondary bedrooms. Includes higher efficient AC unit, radiant barrier, plus many more energy efficient upgrades. Buyer can choose interior finishes (cabinetry, carpet, tile) NO HOA! Est. move in Sept. 201"
194," COMPLETED READY TO MOVE INTO!! SOLAR ELECTRIC!!!Single story 1832 square feet,large kitchen island, Kitchen has Granite Countertops, cozy great room, and generous size secondary bedrooms and Den. Includes higher efficient AC unit, radiant barrier, plus many more energy efficient upgrades. Price includes upgrades. NO HOA! READY TO MOVE INTO NOW!!!!"
195," Our most popular Single Story floorplan - Large open Greatroom,French door in master leads out to covered patio. Formal living room and dining room,Many upgrades. No HOA!!! Move in May. (Pictures are not of the property for sale, they are for floorplan and design reference only)Buyer can still choose carpe"
196," SOLAR ELECTRIC-NEW HOME. (PICTURES ARE OF THE MODEL) Single Story, Our most popular model - jack&jill bathroom adjoining 2 bedrooms, Beautiful upgrades, covered patio off of master suite. Light, bright airy floorplan with a nice size backyard. NO HOA!! Move In Ma"
197," MODEL HOME FOR SALE - SOLAR ELECTRIC-NEW HOME. The Sutter, Single Story, Our most popular model - Wide entry with marble flooring, Greatroom and large Kitchen have beautiful wood flooring, 2 bedrooms adjoin a jack and jill bathroom, Beautiful designer upgrades throughout must see!!, covered patio off of master suite. Light, bright airy floorplan with a nice size landscaped backyard. (furniture/decorator items not included) NO HOA!"
198," SOLAR ELECTRIC NEW HOME!!!! Huge Master Bedroom with retreat. Two bedrooms and 2 full baths downstairs, large loft. Stainless steel appliances, granite slab at kitchen countertops, the list just goes on and on. Oversized lot 7158 sq. ft. READY TO MOVE INTO... NO HOA"
199," This home is just waiting for it's new owner. Equipped with the latest and greatest in solar enery, this home functions as well as it looks! Light neutral colors throughout keep the open feeling of the floorplan flowing. It is a must see if you are ready to move"
200," Great price on nearly new home in Foskett Ranch. No HOA and low Mello-Roos. Roof-top solar system built-in! 4 bedrooms, three upstairs, plus big loft, den with closet down. 3-car garage. Sold As-IS only!! Seller will credit buyer up to a maximum 3% of sales price towards closing costs if negotiated in final signed counter offer. For special financing and incentives, Seller requests buyers use Chase Loan Officer"
201," Better than new solar plus Lennar home*Mstr bdrm dwnstrs w/full landscaping front & rear*Window covering thruout! Dual glazed solar ban 70 low E glass certanteed windows w/efficient vinyl frames*36 two-sided fireplace w/granite surround*Ceramic tile flooring & kitchen has granite slab counters*With GE stainless steel appli*Move right in & don't do anything! Special financing incentives available on this property through Sirva Mortgage*Priced to sell, no REO or short sale"
202," Gorgeous former model & energy efficient solar home! Gourmet kitchen features granite counters, spacious island, Beechwood cabinetry, & stainless steel appliances. Great floorplan has downstairs guest suite. Master plus three additional bedrooms up!! Laundry room up too!! Exceptional finishes and attention to detail throughout. Convenient to shopping, downtown and airport. 55 acres of parks including trails, bike paths and open space. Urban living and pedestrian friendly!"
203," SOLAR ELECTRIC-NEW HOME!! Single Story, Our most popular model - jack&jill bathroom adjoining 2 bedrooms, lots of granite & tile upgrades, covered patio off of master suite. Light, bright airy floorplan with a nice size backyard"
204," SOLAR ELECTRIC HOME!! NEW RELEASE! ALL PHOTOS ARE OF THE MODEL. Our most popular floorplan, the Sierra II- Single story has a spacious pantry, large kitchen island, cozy great room, and generous size secondary bedrooms. Includes higher efficient AC unit, radiant barrier, plus many more energy efficient upgrades. Large courtyard entry. Buyer can choose interior finishes (cabinetry, carpet, tile) NO HOA! Est. move in Sept. 200"
205," NEW RELEASE! SOLAR ELECTRIC!! ALL PHOTOS ARE OF THE MODEL. Our most popular floorplan, the Sierra I- Single story has a spacious pantry, large kitchen island,Kitchen has Granite Countertops, cozy great room, and generous size secondary bedrooms. Includes higher efficient AC unit, radiant barrier, plus many more energy efficient upgrades. Window Blinds. NO HOA! Est. move in Nov. 200"
206," NOVEMBER MOVE IN! SOLAR ELECTRIC!! ALL PHOTOS ARE OF THE MODEL. Our most popular floorplan, the Sierra I- Single story has a spacious pantry, large kitchen island, Granite Slab on Kitchen countertops, Dark Cherry color stained Beech cabinets, cozy great room, and generous size secondary bedrooms. Includes higher efficient AC unit, radiant barrier, plus many more energy efficient upgrades. NO HOA! Est. move in Nov. 200"
207," All SOLAR ELECTRIC!! Cabinets are dark cherry stained throughout, granite slab in kitchen with stainless steel undermount sink and large island great for entertaining. Formal living room and separate family room, large master suite with big walk in closet. Many energy efficient upgrades included, radiant barrier, higher seer AC unit etc., Huge Backyard 45'X45' NO HOA! MOVE IN READ"
208," READY NOW! 30 DAY MOVE-IN SOLAR ELECTRIC HOME!! Many energy efficient upgrades included, radiant barrier, higher seer AC unit etc., Private formal living room. Large kitchen has Granite on countertops with huge walk in pantry and stainless steel appliances. Family room with vast windows for natural light and granite fireplace surround. Upstairs is a large loft, master suite with large walk in closet. Backyard is 45'X45' NO HOA! READY TO MOVE INTO NOW!!"
209," SOLAR ELECTRIC!! ALL PHOTOS ARE OF THE MODEL. Our most popular floorplan, the Sierra II- Single story has a spacious pantry, large kitchen island, cozy great room, and generous size secondary bedrooms. Includes higher efficient AC unit, radiant barrier, plus many more energy efficient upgrades. Courtyard Entry. Buyer can choose interior finishes (cabinetry, carpet, tile) NO HOA! Est. move in Dec. 200"
210," NEW RELEASE!! SOLAR ELECTRIC!! ALL PHOTOS ARE OF THE MODEL. Our most popular floorplan, the Sierra II- Single story has a spacious pantry, large kitchen island,Kitchen countertop is granite, cozy great room, and generous size secondary bedrooms. Includes higher efficient AC unit, radiant barrier, plus many more energy efficient upgrades. Courtyard Entry. NO HOA! Est. move in Feb. 201"
211," MOVE-IN READY!!! SOLAR ELECTRIC!!! Our most popular floorplan, the Sierra I- Single story has a spacious pantry, large kitchen island,Kitchen has upgraded Granite Countertops, Baths have upgraded granite countertops at vanity, cozy great room, and generous size secondary bedrooms. Includes higher efficient AC unit, radiant barrier, plus many more energy efficient upgrades. NO HOA"
212," SOLAR ELECTRIC HOME!! NEW RELEASE! ALL PHOTOS ARE OF THE MODEL. Our most popular floorplan, the Sierra I- Single story has a spacious pantry, large kitchen island, cozy great room, and generous size secondary bedrooms. Includes higher efficient AC unit, radiant barrier, plus many more energy efficient upgrades. NO HOA! Est. move in Aug. 200"
213," SOLAR ELECTRIC HOME!! NEW RELEASE! ALL PHOTOS ARE OF THE MODEL. Many energy efficient upgrades included, radiant barrier, higher seer AC unit etc., Private formal living room and large kitchen and family room with vast windows for natural light. Upstairs is a large loft, master suite with large walk in closet.The kitchen has a huge pantry. Backyard is 46'X55'approx. Buyer can choose interior finishes (cabinetry, carpet, tile) NO HOA! Est. move in Sept/Oct 200"
214," SOLAR ELECTRIC HOME!! NEW RELEASE! ALL PHOTOS ARE OF THE MODEL. Our most popular floorplan, the Sierra I- Single story has a spacious pantry, large kitchen island, kitchen countertops are beautiful granite slab, and stainless steel appliances.Generous size secondary bedrooms. Includes higher efficient AC unit, radiant barrier, plus many more energy efficient upgrades. NO HOA! Est. move in Sept. 200"
215," Beautiful 2 story Lennar SolarPlus home with downstairs master suite. The kitchen features granite countertops, beechwood raised panel dark stained cabinets, GE stainless steel appliances, including double ovem & 5 burner gas cooktop. Upgraded flooring throughout. Covered patio off nook and dining area"
216," Beautiful 5 bedroom, 4 and half bath, Lennar Solar Plus home in desirable west Roseville community. Huge corner homesite, additional courtyard off formal dining room. Covered patio in rear yard and large balcony off master bedroom. Gourmet kitchen including GE profile stainless steel double ovens, 5 burner gas range and seperate microwave"
217," Ouick, close beauty in cul-de-sac location. Features rear yard landscaping, granite, hardwood flooring, stainless steel appliances, solar and so much more.. Special financing available"
218," Fully upgraded 3 bedroom, 3 bath with loft home in highly sought after west park in West Roseville. Walking distance to planned town square. Private backyard with full front and rear landscaping. Includes solar photo voltage system. (Solar Plus Home!). Upgraded stainless GE profile appliances and granite kitchen counters. Beautiful / Unbelievable at below $300,000"
219," Wow! A Bank Owned Opportunity Knocks! This 3 Bedroom, 2 Bath Home has Dual Pane Windows, a Large 2 Car Garage, a Huge Enclosed Patio and all on a large 1/4 acre lot! Needs a little TLC, but has so much potential!"
220," Granite slab kitchen and master bath countertops. Stainless steel range, microwave, dishwasher, hardwood floors and upgraded carpets. Backyard landscaping"
221," NOT A SHORT SALE OR REO**SUNRIVER** LOCATION, LOCATION! CLOSE TO THE AMERICAN RIVER BIKE/WALKING TRAILS, SHOPPING, DINING, ENTERTAINMENT, TRANSPORTATION, 2 GYMS, NEIGHBORHOOD PARK & HWY 50*THIS HOME HAS A BRAND NEW KITCHEN WITH MAPLE CABINETS, GRANITE COUNTERS, ALL NEW BLACK APPLIANCES*SMUD PASSIVE SOLAR PANELS REDUCED ENERGY COSTS*NEW CARPET, NEW INTERIOR PAINT*3 BEDROOM, 2 BATHS, SEPARATE FAMILY ROOM, MASTER BEDROOM HAS ACCESS TO THE BACKYARD COVERED PATIO*A GREAT PLACE TO CALL HOME"
222," Beautiful single story in EDH's new upscale Blackstone community. Large family room + Den, full-size laundry room, large master suite w/ walk-in closet, plantation shutters throughout & formal dining room. Beautifully appointed w/ custom paint, cherry cabinetry, 20 tile,granite countertops,stainless appliances,& tiled baths. Huge unlandscaped yard on private Hillside w/ great views, waiting for your touch! Save big on energy costs w/ this SOLAR Home"
223," Beautiful 4 bedroom, 2 1/2 bath solar plus home in excellent West Roseville neighborhood. Fully upgraded with GE stainless appliances, granite kitchen counters, birch cabinets with brushed nickel pulls, 18x18 tile floors, and upgraded carpet. Huge pool sized backyard, perfect for the growing family. Also has access to shopping"
224, Wonderful SOLAR home with 3 bedrooms PLUS DEN with gorgeous spacious kitchen. Spacious corner lot. Home can be completed by the end of November to qualify for first-time buyer credit plus a solar tax credit
225," Very popular Normandy Plan. Wide-open single story floorplan! Solar Home! Tankless water heater. Too many energy features to list! Save $$'s every month on PG&E! Loaded w/upgrades, Beech Mocha cabinets, Granite counters, Stainless Steel GE Profile appliances w/Double oven, two-tone paint, 18x18 floor tile throughout, 2,701 sq.ft. home is great for entertaining. Boasts 4 bedrooms plus a Den, 2 1/2 Baths, and a full 3 Car Tandem Garage. Gorgeous Stone exterior. Ready late October"
226, Wow! Check out the Price vs Value! SOLAR Home providing up to 60% of your monthly energy needs PLUS approximately $6k Federal Tax Credit for solar. Beautiful 5 Br/3.5 Bath on a corner lot nicely appointed
227," Sizzling July Special: Purchase in JULY and close in 30 days to receive either: 4% Fixed Rate, 30 year conv or fha(must qualify) OR Full House Blinds, GE Energy Star Refrigerator and GE Washer & Dryer!! plus lots MORE: $11,100 in closing costs when using First Mortgage!! Solar Home with approx $6k Federal Tax Credit for Solar plus up to 60% monthly PG&E savings! Ask how to defer your electric bill for a full year!(Full Retail $436,652"
228," DRASTIC PRICE REDUCTION! -Motivated-Bring Offers today! 5 Acres, potential horse property. Views, Quality & Technology,Old World Style & Contemporary Design,Refined Living & Entertaining. Marble,Granite,Slate,Travertine. Custom Cabinets-Sculpted Corbels,Water Spigot over 6 Burner Gourmet Gas Stove,4 Ovens,2 Dishwashers,90+ Bottle Wine Ref. Unrivalled Master Suite w/fplc,74 jet tub & X-LG sep shower.Super ultimate walk-in closet w/washer+dryer,4+ Car Garage,2 AC units and 2 tankless water heater"
229," Just completed 1/8/2010. Brand new solar home!Over $50,000 in UPGRADES! Very popular single story Normandy plan. Wide open large 2701 sq.ft. floorplan great for entertaining. Huge 10,000 sq.ft. lot has no rear neighbor. Upgrades include granite counters in kitchen and 18x18 tile floors, double oven, upgraded beech mocha cabinets, two-tone paint, courtyard, tankless water heater, arches package, & much more!"
230," Fabulous Normandy Single Story on a 12,011 sq.ft.lot!! Room for two pools! Solar Home! Tankless water heater. Save $'s every month on PG&E! Loaded w/upgrades, Beech Mocha cabinets, granite counters, Stainless Steel GE Profile appliances w/Double oven, two-tone paint, 18x18 Tile throughout, 2,701 sq.f.t wide open floorplan great for entertaining. 4 bedroom PLUS a Den, and 2 1/2, Bath, and a Full 3 Car Tandem Garage. Beautiful stone on front exterior. Ready late october"
231," Very popular single story Normandy Plan has 4 Bedrooms + Den, 2 1/2 Baths, 3-Car Tandem Garage in a wide open 2,701 sq.ft. floorplan great for entertaining. Over $50,000 in upgrades! including- SOLAR, Tankless water heater, Granite kitchen counters with GE Profile stainless appliances w/Doulble Oven and Microwave,upgraded Beech Cayenne cabinets, Two-tone paint, 18x18 floor tile, alarm system, ++ More! Excellent location on quiet street & walk 100 feet to 11 acre park! Just completed. Must see"
232," Brand new single story! Maison Plan. Large 2,455 sq.ft. 5 bedroom, 3 Bath, 3 full car garage. Solar Home! w/Tankless water heater, solar roof tiles++++MORE! Save $'s every month. Upgraded 18 inch flor tiles throughout, granite Kitchen counters, GE Profile appliances w/double oven. Large 8,000 sq.ft.lot. Ready late October"
233," Hugely popular Normandy single story! Very open 2,701 sq.ft.4 BR+Den, 21/2 Bath, 3-car garage on 10,000 sq.ft.lot. Solar home! Too many energy upgrades to list like tankless water heater, solar roof tiles, Fed solar tax credit. Upgraded cabinets, two-tone paint, stainless appliances included. Granite kitchen counters, extensive upgraded 18x18 floor tile. Ready late July"
234," Awesome Provence Plan! 8,000sq.ft.lot in court! 5 bedroom plus bonus loft, 3 bath, 3-car garage. Granite kitchen counters, upgraded cabinets,tile floors, etc.. Solar home! Save 60% on gas/electric bill with solar roof tiles,tankless water heater,.92 AFUE heat!Plus Fed.solar tax credits!30k in upgrades. Ready now"
235," If you've been waiting for an excellent value, This is It! Solar Home providing up to 60% of energy needs and $6k federal solar tax credit. Located in beautiful Union Ranch East...come see"
236," This is the one to bring your buyers home to, move in ready with lots of upgrades. This 3 bedroom and 2 bath home features over 1,500 square feet of interior living space with 2 car attached garage. The home features solar energy and a tankless water heater"
237," NEW RELEASE! ALL PHOTOS ARE OF THE MODEL. Our most popular floorplan, the Sierra II- Single story has a spacious pantry, large kitchen island,Kitchen has Granite Countertops, cozy great room, and generous size secondary bedrooms. Includes higher efficient AC unit, radiant barrier, plus many more energy efficient upgrades.Buyer can choose interior finishes (cabinetry, carpet, tile) NO HOA! Est. move in Jan 201"
238," Welcome. You have found the most unique property in Deer Ridge. This 4 bdrm, 4.5 bath hm inspires the feeling of living in your own retreat. Enjoy meals in the formal DR or on one of four stone patios outside. This secluded loc includes a Nat Design Pool & Spa, Built in BBQ, & Fountains in a 1 ac, beautifully lndscpd grdn setting. Prop also incl an Artist Studio, Wrkshp or poss sep lvg qtrs. Abundant strge, Cen Vac, Intercom, Sec System, Solar for Pool heating & PV Solar for energy. Come see"
239," SOLAR ELECTRIC-NEW HOME!!! Single Story. Our most popular model - jack&jill bathroom adjoining 2 bedrooms, lots of granite & tile upgrades, Stainless Steel ungraded kitchen appliances,covered patio off of master suite. Light, bright airy floorplan with a nice size backyard. NO HOA!! Ready to move into"
240," AUGUST MOVE IN!!! SOLAR ELECTRIC!! INTERIOR PHOTOS ARE OF THE MODEL. EXTERIOR PHOTOS ARE OF ACTUAL PROPERTY FOR SALE. Our most popular floorplan, the Sierra I- Single story has a spacious pantry, large kitchen island, cozy great room, and generous size secondary bedrooms. Sliding glass door in the Master Suite. Includes higher efficient AC unit, radiant barrier,Smart Vent, plus many more energy efficient upgrades. NO HOA"
241," Large home on a large lot. From the huge loft/gaming room to the downstairs guest suite this home is move in ready with the window coverings, sidexside refrigerator and frontload washer and dryer included. Home includes Solar and you will receive a Federal Solar tax rebate"
242, Elegant and luxurious Tuscan style home with generously sized bedrooms on 20 lush acres in a prestigious neighborhood. The stunning floor plan is flooded with natural light and takes advantage of incredible views of the Buttes and Valley. The gourmet kitchen and dining area make entertaining a delight. Brand new state of the art solar system that eliminates PG&E bills
243," Upscale Piedmont Heights cul-de-sac location,hilltop views.Remodeled with new paint,floorcoverings,granite kitchen/bathroom counters,stainless appliances,window coverings.Spacious sunroom great for entertaining,family room,many uses.Third car(tandem)garage space equipped as workshop has room for jetski,motorcycles,pool table,tons of storage.A multitude of possibilities to enjoy.Bike or walk to Sequoia Elementary,RVMS,MCHS"
244," Spectacular Ocean Front Home with incredible views everywhere, located in one of the most coveted and private areas of The Sea Ranch.Built by Carson Bowler in 1972 and remodeled by Obie Bowman in 1997.A true masterpiece. Mystical portal to capture the crashing waves. Chefs Kitchen with granite.Elevated dining room with fireplace.Spacious great room with fireplace. A game room,sauna, wine cellar, private lounge,sport room,office,decks, hot tub"
245," Truly a jewel in the meadow and the pick of the litter on the market. Steps from beaches, trails and walking distance to Del Mar Center. Owners have taken care of home and it shows so well, you won't believe it was built in 1986"
246," Panoramic ocean views from this highly desirable upgraded interior town home located in Gualala. 2 bedrooms, 2 1/2 baths, 1 car garage. Close to gym, services, restaurants. No need for a car! $248 monthly Association dues pay homeowners policy, siding, roof, exterior paint, landscape"
247," Vintage 2 bedroom one bath home in the heart of the Westside. Great floor plan with spacious living room, cozy dining room, period kitchen and bright sun room. Many Architectural details including- hardwood flooring, ornate fireplace, French doors, coved ceilings and paneled walls. Updated windows and solar electric. Large backyard with oversized garage, walking to City Park and downtown. P & F clearance, potential for in-law unit"
248," Tranquil and secluded 23+/- acre homestead a short 5 minutes from downtown Healdsburg. 2,060 sq ft passive solar designed residence w/soaring vaulted ceilings and clerestory windows, custom constructed 35 years ago of cedar and spruce. Outbuildings include: architecturally similar studio building w/bath & loft, a 936 sq ft barn/workshop, and a storage building. Park-like retreat among the hills and woodlands w/1,800 ft of Mill Creek frontage"
249," A Nautical Gem! You can see forever with fabulous white and blue water views. Well designed reverse-floor plan with spacious living, dining and kitchen on the upper level + deck! Private, large master and guest room below. Enjoy dramatic sunsets while being close to golf course, town, and bluff trails. Located on a quiet cul-de-sac with sewer access, new interior paint, power washing and roof. Priced to sell and ready for you to move in"
250," Panoramic Views Abound from this Contemporary Style Custom Home Located on a Pristine Knoll-Top Setting. Floor-to-Ceiling Windows Showcase the Views from Almost Every Room in this Spectacular Home. Glass Doors Open to a Large Outdoor Entertaining Area with Vineyard, Mountain, & Valley Views. Enjoy the Gourmet Kitchen with Commercial Appliances, The Master Suite on the Main Level, Infinity Edge Pool, Wine Cellar, Sauna, Plantable Acreage & More"
251," Views, trees & privacy, brand new custom home, elegant finishes, exquisite lighting, spacious kitchen, stainless app, upgraded cabinetry, solid granite in kitchen & baths, beautiful wood & tile floors, 3 skylights, 2 fireplaces, jetted tubs, lg bdrm & full ba on main level w/ outside entrance, amazing views from master suite & front balcony, 3 car gar, RV pkg, level yd area, lg bk patio, A/C, dual zone, solar collector system, city services"
252, Superb ridgetop land w/comfortable home and guest cabin. Gentle ridgetop wi/pond. Excellent spring water system. Well. Views
253," Elegant and sophisticated a perfect full time home with big ocean views.Two bdrms and 2 1/2 baths. Gourmet kit with island and White Maple cabinetry. Lge walk-in pantry. Access from kitchen to patio thru sliding doors perfect for patio dining. Radiant heat on main level. Loft area has designated office area plus a spacious lounge area, bath and guest bedroom with vast ocean views plus store room for many uses. Large two car garage with laundry"
254, Three bedroom/thre bath home with converted garage. Large lot. Tile flooring in living/dining room and kitchen and a bath. Needs some TLC but this bank owned home could be a charmer
255," Perched atop a secluded knoll on a private 12 acre site you will find this wine country modern marvel. 10'ft. ceilings, Travertine stone floors, gourment kitchen including sub-zero and Viking, passive solar design, large master suite with walk in shower, jetted tub, barn, room for horses and potential for hobby vineyard. Million dollar views from almost every room in the home, custom pool, and a building pad for a second home"
256," SOLAR ELECTRIC HOME. Move In Now! Our most popular floor plan, the Sierra II ONE-story has a spacious pantry, large kitchen island, cozy great room, and generous sized secondary bedrooms. Includes, higher efficient AC unit, plus many more energy efficient upgrades. Granite slab countertops in the kitchen. Landscaped backyard with patio included! Window Blinds! Courtyard Entry. 30 Day Close. NO HOA DUES!"
257," An exceptionally private, pristine, serene and sunny 19.94 +/- acre ridge-top parcel on the coveted Coleman Valley Road just 1.3 miles west of Occidental. Property has a wonderful, aesthetic solar cabin, with superb light, sun deck and charming garden areas. The parcel has great beauty, diversity, native woods, year-round creek, springs, incredible privacy, and full southerly exposure. Numerous potential building sites, and exceptional beauty"
258," Welcome to Honey Blossom Farm, a true paradise in the heart of Sebastopol! Honey Blossom has a warm, open and bright home, with beautiful views, 3 bedrooms, 2 1/2 baths, large living & family rooms, expansive deck & porch areas, & near zero electric cost w/ solar power. The land is an utter haven, a splendor of mature orchards, extensive gardens, meadow & play areas, an in-ground pool, & built-in bar-b-que. The best of Sebastopol is all here.."
259," New concept in Contempary. Designed for open living. Liberal use of windows light interior and frame views of forest, vineyards, mountains, and orchards. Green build features include Hydronic heat, bamboo floors, and sod roof. Landscape designed by legend Greg Gill. Soils, sunshine, and water for the gentleman farmer. Potential for 2nd unit. End of lane privacy. Approx 1 acre heavily forested. Award winning public and private schools"
260, We are in escrow and the seller's would love a back up offer!hardwood floors & new designer paint throughout this house is in move in condition.Large family room/office downstairs. 2 bedroom 1 bath. Inviting european style back yard w/slate patio and garden with fruit & evergreen trees. You can be proud to call this your home
261," Value in this 1963+/-sf, 3brms, 2baths + family room on apx. 1/4 wooded ac. Serene Sonoma neighborhood with a rural feel. French doors throughout lead to decks and lg private yard with fruit trees & mature landscape, oaks. Living room w/vaulted ceiling & hdwd plank floors, loft den w/balcony & views, walk-in closets, wine storage below for apx 1,000 bottles. Bonus storage room above oversized garage. Convenient location, vacant, move right in"
262," Live Green!!! Solar Home to save you lots of $$$! A stone's throw from town, up a private lane, in a little valley is this architecturally designed multi-level home, perched on a gentle hillside. A joyful property with a bright, light, Scandinavian feel. Views, privacy and lovely landscape, dotted with native oaks, + sparkling built-in pool. Atmosphere is modern, relaxed and sophisticated country, within the City. Embrace the green lifestyle"
263," Beautiful Brand New Enviro-Home with latest solar technology to pay your PG&E. Stamped concrete patio & front entry. Granite counters, top of the line appliances inc. front load washer & dryer. Designer paint, tile floors & more"
264," This stunning property is located in the desirable Vineyard community. Down a private gated road is a remodeled 2,300 sq ft, 3BR/2.5BA home that overlooks the Russian River & the picturesque vineyards of Alexander Valley. You'll also find a 1,887 sq ft dramatic contemporary barn w/1BR/1 BA, media room, office and gym area, sauna & a wine making facility. Surrounded by 5.79 acres of landscaped terraces, hobby vineyard, and Russian River access"
265," Stunning remodeled 4bd/2.5bath multi level home with an open floorplan on main floor with sunroom looking onto terraced gardens and living room with private deck overlooking views. Lovely Bay and Angel Is views. Master floor with great views, 3 additional rooms on separate floor and 2 car attached garage"
266, Great Palm Hill home lovingly remodeled and designed with extensive solar and energy efficiency in mind. Located on a sunny southwest facing lot with outstanding panoramic views of Mt. Tamalpais and valley. Four bedrooms and two and a half baths. Original house was expanded and brand new 2-car garage added. Existing home still has expansion possibilities. Ideal location in a great neighborhood
267," Paradise Found! Stunning 5.66 acre ridge-top parcel in unique banana belt climate w/ panoramic views to Pt. Reyes, Mt. Tam, & beyond. Gorgeous terraced gardens, spectacular lap-pool, pond, open meadows, native forest, vegetable & rose gardens, meandering paths. The charming Craftsman inspired home features 3 bedrooms, 2.5 baths, an open floor plan, Chef's kitchen, custom cabinetry, art studio, greenhouse, & seamless indoor-outdoor flow. Stunning"
268," Stroll to happenin' downtown Novato from this almost-new, stylish home that's certified GREEN! 40-yr roof, 50-yr siding, tankless water heater, passive solar heating...it's cutting edge. Master suite on main floor w/full bath, attractive & stylish up-down window shades, laminate floors, stainless appliances, recessed lighting and attached garage. It's clean as a whistle. Below-market-rate restrictions apply"
269," Flawless execution of high end design & stunning finishes in this recently completed Spanish Colonial estate. Architectural lighting, imported tiles & authentic details throughout. Designed for complete indoor/outdoor living, the completely level, sun filled lot is resort like in every way. All main rooms open to the vast lawn & beautifully designed inground pool. A country like setting just blocks to Ross School & downtown San Anselmo"
270," Tucked away on a private, gated acreage parcel in desirable Los Ranchitos, this special one level home has a large pool offering the perfect indoor/outdoor lifestyle. Contemporary ranch with 3 BR/2BA, a formal LR and 2 sided wood burning fireplace adjoining the formal DR. Bring your designer touches to this wonderful home and vacation year round in this convenient location. Dixie Schools too! MAJOR PRICE REDUCTION! PRICED TO SELL NOW"
